,Date,Country,Area,Location,Activity,Age,Time,Species,Month,Fatal,Sex
0,25-Jun-2018,USA,California,"Oceanside, San Diego County",non representative,57,evening,White shark,June,N,F
1,18-Jun-2018,USA,Georgia,"St. Simon Island, Glynn County",walking,11,Unkown,White shark,June,N,F
2,09-Jun-2018,USA,Hawaii,"Habush, Oahu",surfing,48,Unkown,White shark,June,N,M
3,08-Jun-2018,AUSTRALIA,New South Wales,Arrawarra Headland,surfing,27.34582218257508,Unkown,2 m shark,June,N,M
4,04-Jun-2018,MEXICO,Colima,La Ticla,diving,27.34582218257508,Unkown,"Tiger shark, 3m",June,N,M
5,03-Jun-2018,AUSTRALIA,New South Wales,"Flat Rock, Ballina",non representative,27.34582218257508,Unkown,White shark,June,N,M
6,03-Jun-2018,BRAZIL,Pernambuco,"Piedade Beach, Recife",swimming,18,afternoon,Tiger shark,June,F,M
7,27-May-2018,USA,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",non representative,52,Unkown,"Lemon shark, 3'",May,N,M
8,26-May-2018,USA,Florida,"Cocoa Beach, Brevard  County",walking,15,evening,"Bull shark, 6'",May,N,M
9,26-May-2018,USA,Florida,"Daytona Beach, Volusia County",walking,12,afternoon,White shark,May,N,M
10,24-May-2018,AUSTRALIA,Queensland,Cairns Aquarium,non representative,32,morning,Grey reef shark,May,N,M
11,21-May-2018,USA,South Carolina,"Isle of Palms,  Charleston County",surfing,10,Unkown,White shark,May,N,M
12,13-May-2018,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,10,afternoon,White shark,May,N,M
13,13-May-2018,ENGLAND,Cornwall,Off Land's End,non representative,21,Unkown,Invalid incident,May,N,M
14,May 2018,AUSTRALIA,Westerm Australia,Dugong Bay,non representative,34,Unkown,"Tawny nurse shark, 2m",May,N,F
15,12-May-2018,SOUTH AFRICA,Eastern Cape Province,"Nahoon Beach, East London",surfing,27.34582218257508,morning,White shark,May,N,M
16,09-May-2018,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,27.34582218257508,morning,Shark involvement not confirmed,May,N,M
17,Reported 30-Apr-2018,THAILAND,Hua Hin,Sai Noi Beach,swimming,27.34582218257508,Unkown,White shark,April,N,M
18,28-Apr-2018,COSTA RICA,Cocos Island,Manuelita,non representative,30,Unkown,Tiger shark,April,N,M
19,28-Apr-2018,AUSTRALIA,Western Australia,Gearys Beach,surfing,27.34582218257508,Unkown,White shark,April,N,M
20,25-Apr-2018,AUSTRALIA,New South Wales,Lennox Head,surfing,27.34582218257508,morning,Questionable,April,N,M
21,25-Apr-2018,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",surfing,60,morning,3 m shark,April,N,M
22,24-Apr-2018,AUSTRALIA,Western Australia,"South Point, Gracetown",surfing,27.34582218257508,afternoon,"White shark, 3.5 m",April,N,M
23,23-Apr-2018,MALDIVES,Alifu Alifu Atoll,Madoogali,non representative,32,Unkown,Tiger shark,April,N,M
24,22-Apr-2018,SOUTH AFRICA,Western Cape Province,"Robberg Beach, Plettenberg Bay",non representative,33,Unkown,"White shark, 2.5 m",April,N,M
25,19-Apr-2018,USA,Hawaii,"Shipwrecks Beach, Keoneloa Bay, Kauai",non representative,29,Unkown,6' shark,April,N,M
26,15-Apr-2018,THAILAND,Hua Hin,Sai Noi Beach,swimming,54,Unkown,Juvenile bull shark,April,N,M
27,15-Apr-2018,BRAZIL,Pernambuco,Piedade,swimming,34,Unkown,White shark,April,N,M
28,15-Apr-2018,AUSTRALIA,Western Australia,"Lefthanders, Margaret River Area",surfing,41,Unkown,White shark,April,N,M
29,15-Apr-2018,AUSTRALIA,Western Australia,"Cobblestones, Margaret River Area",surfing,37,morning,White shark,April,N,M
30,14-Apr-2018,BAHAMAS,New Providence,Nirvana Beach,surfing,27.34582218257508,morning,Tiger shark,April,N,M
31,Reported 10-Apr-2018,BRAZIL,Alagoas,"Praia de Sauaçuhy, Maceió",non representative,56,Unkown,Shark involvement not confirmed,April,N,M
32,09-Apr-2018,NEW CALEDONIA,Unkown,"Magenta Beach, Noumea",surfing,27.34582218257508,evening,2 m shark,April,N,M
33,05-Apr-2018,BAHAMAS,Unkown,Bimini,swimming,12,evening,Bull shark,April,N,M
34,03-Apr-2018,SOUTH AFRICA,Eastern Cape Province,St. Francis Bay,surfing,19,afternoon,White shark,April,N,M
35,31-Mar-2018,USA,Hawaii,Kukio Beach,non representative,25,morning,"Tiger shark, 12'",March,N,M
36,14-Mar-2018,AUSTRALIA,Western Australia,Waterman's Bay,fishing,10,Unkown,Wobbegong shark,March,N,M
37,9-Mar-2018,AUSTRALIA,Victoria,Lorne,swimming,69,afternoon,3.5 m shark,March,N,M
38,9-Mar-2018,AUSTRALIA,Victoria,Winkipop,surfing,18,morning,1.8 m shark,March,N,M
39,24-Feb-2018,SOUTH AFRICA,KwaZulu-Natal,Durban,diving,38,Unkown,Blacktip shark,February,N,M
40,23-Feb-2018,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",swimming,55,Unkown,"Juvenile white shark,  2.7 to 3.2 m",February,N,F
41,18-Feb-2018,AUSTRALIA,Victoria,Westernport Bay,non representative,34,night,White shark,February,N,M
42,15-Feb-2018,AUSTRALIA,New South Wales,"Surf Beach, Kiama",walking,35,afternoon,"Bull shark, 2 m",February,N,M
43,14-Feb-2018,AUSTRALIA,Queensland,Mooloolaba Beach,swimming,27.34582218257508,evening,Possibly a wobbegong,February,N,F
44,11-Feb-2018,BRAZIL,"Boi Island, Victoria",Espirito Santo,non representative,46,Unkown,"Injury believed caused by an eel, not a shark",February,N,F
45,03-Feb-2018,ECUADOR,Galapagos Islands,Santa Fe Island,non representative,45,Unkown,Galapagos shark?,February,N,M
